Title,Rating,Votes,Duration,Genre
96. Alienoid: The Return to the Future,6.5, (2.7K),2h 2m,Fantasy
97. The Night Before Christmas in Wonderland,6.3, (526),1h 20m,Fantasy
98. This Is Me... Now,4.1, (7.2K),1h 5m,Fantasy
99. 200% Wolf,5.9, (1.3K),1h 38m,Fantasy
100. Panda Bear in Africa,5.5, (379),1h 24m,Fantasy
101. Una ballena,5.6, (162),1h 48m,Fantasy
102. Balestra,5.1, (544),2h 25m,Fantasy
103. Gaami,6.3, (2.1K),2h 27m,Fantasy
104. My Oni Girl,6.0, (1.9K),1h 52m,Fantasy
105. Pechi,5.5, (1.5K),1h 50m,Fantasy
106. Nyctophobia,6.9, (1.8K),1h 30m,Fantasy
107. The Fisherman,7.4, (54),1h 46m,Fantasy
108. Cinderella's Revenge,3.7, (1.2K),1h 25m,Fantasy
109. Chantal in Fairyland,4.6, (2.7K),1h 58m,Fantasy
110. The Gesuidouz,6.6, (86),1h 33m,Fantasy
111. Cinderella's Curse,3.4, (1.4K),1h 22m,Fantasy
112. Oshi no Ko: The Final Act,6.2, (183),2h 9m,Fantasy
113. Woody Woodpecker Goes to Camp,4.5, (2.7K),1h 40m,Fantasy
114. Harry Potter and the Stone,7.7, (186),2h 32m,Fantasy
115. My Future You,7.5, (291),1h 49m,Fantasy
116. The Witch: Revenge,5.3, (872),1h 40m,Fantasy
117. The Sand Castle,4.7, (1.8K),1h 38m,Fantasy
118. Ryan's World the Movie: Titan Universe Adventure,1.8, (731),1h 20m,Fantasy
119. Rendel: Cycle of Revenge,3.6, (254),1h 39m,Fantasy
120. Seven Cemeteries,4.6, (666),1h 24m,Fantasy
121. Man and Witch: The Dance of a Thousand Steps,5.5, (353),1h 34m,Fantasy
122. Enchanting Christmas,6.3, (366),1h 31m,Fantasy
123. Warchief,2.5, (614),1h 34m,Fantasy
124. The Opera!,6.4, (130),1h 46m,Fantasy
125. Rebellious,6.1, (237),1h 34m,Fantasy
126. Witch Hunter,4.8, (26),1h 20m,Fantasy
127. The Black Hole,6.0, (244),1h 55m,Fantasy
128. Barroz: Guardian of Treasures,3.4, (1K),2h 35m,Fantasy
129. Elli and the Ghostly Ghost Train,5.1, (109),1h 26m,Fantasy
130. Dalia and the Red Book,5.9, (150),1h 47m,Fantasy
131. Schneewittchen,6.4, (13),1h 10m,Fantasy
132. Assassin's Guild,2.9, (131),1h 43m,Fantasy
133. School of Magical Animals 3,5.7, (351),1h 45m,Fantasy
134. Seven Seas Seven Hills,8.6, (95),1h 30m,Fantasy
135. Dongeng Sang Kancil,6.6, (223),1h 39m,Fantasy
136. Witch,4.9, (1.4K),1h 47m,Fantasy
"137. Ado SPECIAL LIVE ""Shinzou"" in Cinema",9.3, (45),2h 20m,Fantasy
138. Diplodocus,6.3, (197),1h 33m,Fantasy
139. Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,Fantasy
140. The Keepers of the 5 Kingdoms,4.0, (231),1h 49m,Fantasy
141. Malaikottai Vaaliban,6.0, (4.2K),2h 36m,Fantasy
142. Double Tuckerr,5.0, (1.3K),2h,Fantasy
143. Rita,5.7, (297),1h 47m,Fantasy
144. The Sleeping Woman,5.2, (597),1h 50m,Fantasy
146. Phallacies,8.2, (6),1h 41m,Fantasy
147. The Yin Yang Master Zero,5.7, (292),1h 52m,Fantasy
148. The Lost Tiger,7.9, (53),1h 30m,Fantasy
149. Fasel men el-Lahazat el-Ladhidhah,6.4, (995),2h 2m,Fantasy
150. Into the Mortal World,7.0, (246),1h 58m,Fantasy
151. The Casagrandes Movie,5.6, (694),1h 29m,Fantasy
152. Fureru,6.2, (58),1h 47m,Fantasy
153. Ghost Cat Anzu,6.5, (858),1h 37m,Fantasy
154. Ba,7.6, (63),1h 19m,Fantasy
155. Mayan,8.7, (135),1h 53m,Fantasy
157. ¿Quién es quién?,5.3, (244),1h 35m,Fantasy
158. Ooru Peru Bhairavakona,5.7, (1.8K),2h 13m,Fantasy
159. Niko: Beyond the Northern Lights,6.1, (353),1h 26m,Fantasy
"160. Love, Danielle",8.8, (43),1h 19m,Fantasy
161. Spirit World,5.8, (80),1h 34m,Fantasy
