Title,Rating,Votes,Duration,Genre
111. Afraid,5.2, (15K),1h 24m,Thriller
112. The Silent Hour,6.1, (8.3K),1h 39m,Thriller
113. Sting,5.7, (17K),1h 31m,Thriller
114. The Master and Margarita,7.2, (5K),2h 36m,Thriller
115. Die Alone,5.8, (3.9K),1h 30m,Thriller
116. Amongst the Wolves,5.2, (281),1h 42m,Thriller
117. The Exorcism,4.2, (12K),1h 35m,Thriller
118. Kishkindha Kaandam,8.0, (12K),2h 13m,Thriller
119. Dead Mail,6.0, (2K),1h 46m,Thriller
120. Slingshot,5.7, (10K),1h 48m,Thriller
121. A Desert,5.9, (293),1h 43m,Thriller
122. Take Cover,5.1, (2.8K),1h 30m,Thriller
123. Aftermath,5.1, (4.4K),1h 37m,Thriller
124. Lembayung,5.9, (775),2h 3m,Thriller
125. Twilight of the Warriors: Walled In,6.9, (10K),2h 6m,Thriller
126. Killer Heat,5.6, (14K),1h 35m,Thriller
127. Manjummel Boys,8.2, (28K),2h 15m,Thriller
128. F*** Marry Kill,5.3, (2.8K),1h 37m,Thriller
129. Bramayugam,7.8, (14K),2h 19m,Thriller
130. Relay,7.4, (131),1h 52m,Thriller
131. The Platform 2,4.9, (41K),1h 39m,Thriller
132. Black Dog,7.2, (3.7K),1h 56m,Thriller
133. Marco,6.8, (23K),2h 25m,Thriller
134. 11 Rebels,6.3, (690),2h 35m,Thriller
135. Utopia,3.6, (421),1h 31m,Thriller
136. The Devil's Bath,6.6, (6.7K),2h 1m,Thriller
138. Magpie,6.2, (3.8K),1h 30m,Thriller
139. Santosh,7.1, (2.4K),2h 8m,Thriller
140. Devara Part 1,6.0, (21K),2h 56m,Thriller
141. Dead Talents Society,7.0, (2.5K),1h 51m,Thriller
142. Humane,5.5, (7.6K),1h 33m,Thriller
143. Sookshma Darshini,7.8, (11K),2h 22m,Thriller
144. Lake George,6.5, (1.5K),1h 58m,Thriller
145. Werewolves,4.4, (7.6K),1h 33m,Thriller
146. Armor,3.6, (4.6K),1h 29m,Thriller
147. Life After Fighting,6.4, (2.2K),2h 6m,Thriller
148. Bedspacer,4.5, (376),1h 30m,Thriller
149. V/H/S/Beyond,5.8, (9.9K),1h 54m,Thriller
150. Sector 36,7.1, (26K),2h 3m,Thriller
151. Force of Nature: The Dry 2,5.8, (7.5K),2h,Thriller
152. Cellar Door,5.3, (4.5K),1h 37m,Thriller
153. Karma,7.9, (1.5K),2h 47m,Thriller
154. The Wasp,6.1, (5.1K),1h 36m,Thriller
155. Bonhoeffer: Pastor. Spy. Assassin.,6.2, (3.9K),2h 13m,Thriller
