Title,Rating,Votes,Duration,Genre
97. Uprising,6.6, (5.9K),2h 6m,Action
98. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Action
99. Amaran,8.1, (20K),2h 47m,Action
100. The Roundup: Punishment,6.6, (5.7K),1h 49m,Action
101. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Action
102. Blood Star,6.4, (6.2K),1h 37m,Action
103. My Spy: The Eternal City,5.7, (11K),1h 52m,Action
104. Badland Hunters,5.9, (13K),1h 47m,Action
105. Black Creek,9.3, (77),1h 56m,Action
106. Dan Da Dan: First Encounter,8.2, (3K),1h 23m,Action
107. Toofan,7.3, (8.7K),2h 25m,Action
108. Boneyard,4.1, (5.2K),1h 36m,Action
109. Officer Black Belt,6.9, (8.7K),1h 48m,Action
110. Cloud,6.3, (1.6K),2h 4m,Action
111. Dominique,5.3, (2.4K),1h 40m,Action
112. No Way Up,4.6, (11K),1h 30m,Action
113. Pani,6.9, (3.3K),2h 23m,Action
114. Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,Action
115. Alien: Rubicon,2.5, (440),1h 26m,Action
116. The Family Star,5.4, (5.6K),2h 39m,Action
117. Duchess,4.6, (1.6K),1h 54m,Action
118. Despatch,4.4, (4.5K),2h 33m,Action
119. S.T.A.L.K.E.R.: Shadow of the Zone,4.8, (630),1h 11m,Action
120. Panda Plan,5.1, (1.5K),1h 39m,Action
121. Night Call,6.8, (2.4K),1h 37m,Action
122. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Action
123. Trouble,6.2, (7.1K),1h 38m,Action
124. Baby John,5.1, (17K),2h 39m,Action
125. Wynonna Earp: Vengeance,5.5, (1.7K),1h 36m,Action
126. Harbin,6.2, (968),1h 48m,Action
127. Role Play,5.5, (19K),1h 40m,Action
128. Hounds of War,4.5, (2K),1h 35m,Action
129. Damaged,4.7, (7.6K),1h 37m,Action
130. Vettaiyan,6.9, (40K),2h 43m,Action
131. Code 8: Part II,5.7, (16K),1h 40m,Action
132. Long Gone Heroes,5.1, (1.3K),1h 41m,Action
133. The Greatest of All Time,5.7, (23K),3h 3m,Action
134. Singham Again,4.6, (75K),2h 24m,Action
135. Ultraman: Rising,6.9, (6.6K),1h 57m,Action
136. Cash Out,4.8, (3.1K),1h 32m,Action
138. Hunt the Wicked,5.4, (171),1h 42m,Action
139. Sasan,8.7, (88),2h 35m,Action
140. Watchmen: Chapter II,7.1, (3.4K),1h 30m,Action
141. Viduthalai Part 2,7.8, (17K),2h 50m,Action
142. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Action
143. Levels,5.0, (1.6K),1h 33m,Action
144. Rats!,6.5, (191),1h 25m,Action
145. River of Blood,5.0, (2K),1h 26m,Action
146. My Hero Academia: You're Next,7.0, (2.6K),1h 50m,Action
147. Elyas,6.1, (1.6K),1h 45m,Action
148. Escape,6.4, (2.2K),1h 34m,Action
149. Thangalaan,6.5, (6.8K),2h 36m,Action
150. Chandu Champion,7.8, (34K),2h 22m,Action
151. Sikandar Ka Muqaddar,5.9, (25K),2h 22m,Action
152. One More Shot,5.4, (3.8K),1h 43m,Action
153. Hagen,6.0, (1.4K),2h 19m,Action
154. Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Action
155. Khadaan,7.0, (2.2K),2h 17m,Action
156. Prey,3.7, (3.4K),1h 26m,Action
157. Escape from the 21st Century,6.4, (1K),1h 38m,Action
158. Yolo,6.9, (3.9K),2h 9m,Action
159. Uninvited,5.6, (330),1h 33m,Action
160. Striking Rescue,5.6, (690),1h 51m,Action
161. Bohurupi,7.9, (1.7K),2h 35m,Action
162. The Clean Up Crew,4.2, (1.3K),1h 35m,Action
163. Bougainvillea,6.4, (3.4K),2h 18m,Action
164. Paradox Effect,5.8, (8.8K),1h 27m,Action
165. Die Hart 2: Die Harter,4.3, (5.6K),1h 32m,Action
166. Raayan,6.5, (11K),2h 25m,Action
167. Bagheera,6.7, (7.6K),2h 38m,Action
168. Handsome Guys,6.5, (969),1h 41m,Action
169. One Fast Move,5.0, (2.3K),1h 48m,Action
170. The Price of Money: A Largo Winch Adventure,5.1, (1.3K),1h 40m,Action
171. Kanguva,4.5, (15K),2h 32m,Action
172. Hijack 1971,6.8, (3.4K),1h 40m,Action
173. Kingdom 4: Return of the Great General,7.1, (1.4K),2h 25m,Action
174. Hitpig,5.1, (1.1K),1h 26m,Action
175. The Thundermans Return,5.0, (1.9K),1h 10m,Action
176. Yodha,5.7, (9K),2h 10m,Action
177. Dark Match,5.4, (1.1K),1h 34m,Action
178. Drive Back,4.5, (642),1h 34m,Action
179. Operation: Raqqa,5.6, (303),1h 47m,Action
180. Devil's Knight,5.3, (963),1h 30m,Action
181. Bachhala Malli,8.2, (3.9K),2h 20m,Action
"182. I, the Executioner",6.3, (2K),1h 58m,Action
183. Rifle Club,7.0, (4.6K),1h 53m,Action
184. A Legend,4.7, (1K),2h 9m,Action
185. Outlaw,5.2, (971),1h 22m,Action
186. The Last Front,5.5, (636),1h 38m,Action
187. Hanu Man,7.7, (29K),2h 38m,Action
189. Bureau 749,3.9, (580),2h 3m,Action
190. Jigra,6.0, (24K),2h 33m,Action
191. Max,7.1, (3.5K),2h 12m,Action
192. Air Force One Down,4.4, (3K),1h 24m,Action
193. The Courier,6.0, (4.6K),1h 41m,Action
194. The Tiger's Apprentice,5.8, (2.3K),1h 24m,Action
195. Troubleshooters,6.4, (436),1h 50m,Action
196. Freedom,5.9, (1.4K),1h 50m,Action
197. Fight for Tomorrow,6.6, (11),1h 41m,Action
198. The Lockdown,4.4, (628),1h 57m,Action
199. The Twisters,2.6, (416),1h 26m,Action
200. UI,6.8, (5.8K),2h 15m,Action
201. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Action
202. Sorgavaasal,6.6, (1.4K),2h 18m,Action
203. Shark Warning,3.5, (368),1h 34m,Action
204. A.R.M,7.1, (8.9K),2h 30m,Action
205. All the Lost Ones,3.7, (271),1h 46m,Action
206. Vedaa,6.0, (4.5K),2h 25m,Action
207. Anaconda,4.9, (668),1h 24m,Action
208. Eagle,5.9, (5K),2h 39m,Action
209. Everybody Loves Jenifa,8.3, (97),2h 15m,Action
210. Kill Em All 2,4.1, (1.4K),1h 28m,Action
211. Get Fast,3.7, (483),1h 28m,Action
212. Murder Company,3.7, (1.6K),1h 26m,Action
213. City Hunter,6.3, (5.7K),1h 42m,Action
214. Baby Assassins: Nice Days,7.2, (348),1h 43m,Action
215. Bhaje Vaayu Vegam,6.1, (771),2h 16m,Action
216. Latency,4.2, (2.9K),1h 34m,Action
217. Fighting the Fire,8.5, (1.7K),1h 55m,Action
218. Savi,6.1, (35K),2h 6m,Action
219. Angels Fallen: Warriors of Peace,4.9, (6.4K),1h 43m,Action
220. Gandhi 3,5.7, (245),2h 23m,Action
221. Lal Salaam,4.5, (1.5K),2h 30m,Action
222. Terminator: Skynet Rising,6.7, (283),1h 28m,Action
223. Big City Greens the Movie: Spacecation,6.2, (584),1h 23m,Action
224. In the Fire of War,7.2, (204),1h 55m,Action
225. High Forces,5.8, (581),1h 59m,Action
226. Fluxx,6.0, (124),1h 40m,Action
227. Alienoid: The Return to the Future,6.5, (2.7K),2h 2m,Action
228. The Kingdom,7.0, (152),2h 13m,Action
229. 200% Wolf,5.9, (1.3K),1h 38m,Action
230. Joe Baby,5.2, (106),1h 26m,Action
231. Captain Miller,6.9, (11K),2h 37m,Action
232. Sunray: Fallen Soldier,4.3, (704),1h 55m,Action
233. Mission: Cross,6.1, (2.7K),1h 45m,Action
234. Bidurbhai,9.2, (409),2h 28m,Action
235. Athhoi,7.3, (227),2h 38m,Action
236. Mr. Bachchan,3.6, (5.3K),2h 30m,Action
237. The Friendly,8.6, (21),1h 41m,Action
238. Crakk: Jeetega... Toh Jiyegaa,4.7, (6.5K),2h 34m,Action
239. The Wages of Fear,4.6, (4.2K),1h 44m,Action
240. Vanvaas,6.6, (1.5K),2h 40m,Action
241. The Ballad of Davy Crockett,4.6, (259),1h 36m,Action
242. Gatao: Like Father Like Son,5.7, (260),2h 11m,Action
243. Por,5.1, (626),2h 34m,Action
244. Dirty Money,5.6, (191),1h 40m,Action
246. Agent Recon,2.4, (750),1h 25m,Action
247. Kahar: Kapla High Council,7.0, (494),1h 42m,Action
248. Zero,5.9, (83),1h 28m,Action
249. Anchakkallakokkan,6.6, (1K),2h 6m,Action
250. Echo 8,6.1, (1.3K),1h 35m,Action
251. Villain - Life of a Gangster,8.7, (166),2h 21m,Action
252. Guntur Kaaram,5.4, (25K),2h 39m,Action
253. The Last Stand of Ellen Cole,7.1, (76),1h 37m,Action
254. Samandar,7.7, (143),2h 52m,Action
255. The Infallibles,4.8, (782),1h 39m,Action
258. Buying Time,6.4, (505),1h 24m,Action
259. Shekko,5.9, (614),2h,Action
260. Son's Will,7.4, (1.1K),2h 28m,Action
261. Lights Out,4.9, (1.8K),1h 30m,Action
262. Mafia Wars,3.5, (284),1h 38m,Action
263. Article 370,7.8, (25K),2h 38m,Action
264. Darkness of Man,4.7, (3.3K),1h 49m,Action
