Title,Rating,Votes,Duration,Genre
97. Into the Mortal World,7.0, (246),1h 58m,Animation
98. The Casagrandes Movie,5.6, (694),1h 29m,Animation
99. Fureru,6.2, (58),1h 47m,Animation
100. Ghost Cat Anzu,6.5, (858),1h 37m,Animation
101. Living Large,6.9, (175),1h 20m,Animation
102. Mariposas Negras,7.1, (73),1h 23m,Animation
103. Sabbath Queen,7.9, (71),1h 45m,Animation
104. Boonie Bears: Time Twist,6.0, (177),1h 45m,Animation
105. Kizumonogatari: Koyomi Vamp,7.0, (108),2h 24m,Animation
106. Peppa's Cinema Party,4.9, (157),1h 5m,Animation
107. Exorcism Chronicles: The Beginning,6.4, (131),1h 25m,Animation
108. Inanimate Insanity II: The Movie,8.2, (248),1h 46m,Animation
109. Niko: Beyond the Northern Lights,6.1, (353),1h 26m,Animation
110. Little Emma,5.4, (134),1h 46m,Animation
111. Dragon Ball Z Kai,8.6, (88),1h 22m,Animation
"112. Maya, donne-moi un titre",6.3, (63),1h 1m,Animation
113. Out of the Nest,6.5, (126),1h 24m,Animation
115. The Proud Princess,6.4, (139),1h 24m,Animation
116. (S)KiDS,8.4, (144),1h 25m,Animation
117. TWST: Things We Said Today,7.0, (68),1h 26m,Animation
118. SuperKlaus,4.3, (207),1h 28m,Animation
119. Olivia & the Clouds,7.3, (59),1h 21m,Animation
120. Rock Bottom,6.2, (55),1h 26m,Animation
121. Where the Robots Grow,2.6, (531),1h 28m,Animation
122. Norbert,6.7, (16),1h 15m,Animation
123. Rafadan Tayfa: Kapadokya,6.6, (134),1h 24m,Animation
125. Si Juki the Movie: Harta Pulau Monyet,6.1, (131),1h 47m,Animation
126. Transformers Prime: Galavatron's Revenge,4.4, (17),1h 44m,Animation
127. Dikkie Dik en de Verdwenen Knuffel,7.2, (133),1h 2m,Animation
128. Benjamin Bat,7.9, (34),1h 15m,Animation
129. The Big Trip 3: Race Around the World,5.6, (67),1h 25m,Animation
130. Bloody Escape: Bats out of Hell,5.4, (59),1h 40m,Animation
131. Shrek 5: The Contract - A Fan Made Film,7.4, (22),1h 24m,Animation
133. My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7, (11),55m,Animation
135. Maxxie LaWow: Drag Super-shero,8.2, (149),1h 54m,Animation
136. Zak & Wowo: The Legend of Lendarys,5.7, (103),1h 25m,Animation
137. Terra Incognita 1901,5.4, (66),1h 18m,Animation
138. A Few Moments of Cheers,7.3, (53),1h 8m,Animation
139. Sanatorium Under the Sign of the Hourglass,5.4, (134),1h 15m,Animation
140. Dead Dead Demon's Dededede Destruction,7.0, (153),2h,Animation
141. Fox & Hare Save the Forest,5.9, (217),1h 11m,Animation
142. Schirkoa: In Lies We Trust,5.5, (168),1h 43m,Animation
143. Quo Vadis,6.4, (515),1h 30m,Animation
144. The Storm,6.0, (145),1h 42m,Animation
"145. Die Heinzels: Neue Mützen, Neue Mission",6.0, (106),1h 16m,Animation
146. Kvitebjørn,5.9, (78),1h 25m,Animation
147. Tobias and the Arcane Merchant,8.8, (48),2h 47m,Animation
149. Bocchi the Rock! Recap Part 1,7.5, (199),1h 30m,Animation
